FRR	FAR	%Aciertos
0.0	1.0	0.0
0.0	0.99996567	1.0
0.0	0.99996567	2.0
0.0	0.99996567	3.0
0.0	0.9998431	4.0
0.0	0.9998431	5.0
0.0	0.9998431	6.0
0.0	0.9995784	7.0
0.0	0.9995784	8.0
0.0	0.9995784	9.0
0.0	0.99888235	10.0
0.0	0.99888235	11.0
0.0	0.99888235	12.0
0.0	0.9977794	13.0
0.0	0.9977794	14.0
0.0	0.9977794	15.0
0.0	0.9977794	16.0
0.0	0.9959314	17.0
0.0	0.9959314	18.0
0.0	0.9959314	19.0
0.0	0.99335295	20.0
0.0	0.99335295	21.0
0.0	0.99335295	22.0
0.0	0.99014217	23.0
0.0	0.99014217	24.0
0.0	0.99014217	25.0
0.0	0.98594606	26.0
0.0	0.98594606	27.0
0.0	0.98594606	28.0
0.0	0.98594606	29.0
0.0	0.98059803	30.0
0.0	0.98059803	31.0
0.0	0.98059803	32.0
0.0	0.97459316	33.0
0.0	0.97459316	34.0
0.0	0.97459316	35.0
0.0	0.9679118	36.0
0.0	0.9679118	37.0
0.0	0.9679118	38.0
2.4509805E-4	0.9604314	39.0
2.4509805E-4	0.9604314	40.0
2.4509805E-4	0.9604314	41.0
2.4509805E-4	0.9518039	42.0
2.4509805E-4	0.9518039	43.0
2.4509805E-4	0.9518039	44.0
2.4509805E-4	0.9518039	45.0
2.4509805E-4	0.94036275	46.0
2.4509805E-4	0.94036275	47.0
2.4509805E-4	0.94036275	48.0
7.3529413E-4	0.92565686	49.0
7.3529413E-4	0.92565686	50.0
7.3529413E-4	0.92565686	51.0
9.803922E-4	0.90640193	52.0
9.803922E-4	0.90640193	53.0
9.803922E-4	0.90640193	54.0
0.0014705883	0.8839755	55.0
0.0014705883	0.8839755	56.0
0.0014705883	0.8839755	57.0
0.0014705883	0.8839755	58.0
0.0019607844	0.8566226	59.0
0.0019607844	0.8566226	60.0
0.0019607844	0.8566226	61.0
0.0026960785	0.82344115	62.0
0.0026960785	0.82344115	63.0
0.0026960785	0.82344115	64.0
0.0031862746	0.7819951	65.0
0.0031862746	0.7819951	66.0
0.0031862746	0.7819951	67.0
0.004656863	0.73260784	68.0
0.004656863	0.73260784	69.0
0.004656863	0.73260784	70.0
0.009803922	0.6739804	71.0
0.009803922	0.6739804	72.0
0.009803922	0.6739804	73.0
0.009803922	0.6739804	74.0
0.014705882	0.60837746	75.0
0.014705882	0.60837746	76.0
0.014705882	0.60837746	77.0
0.02377451	0.5347598	78.0
0.02377451	0.5347598	79.0
0.02377451	0.5347598	80.0
0.04019608	0.453	81.0
0.04019608	0.453	82.0
0.04019608	0.453	83.0
0.06421569	0.3627892	84.0
0.06421569	0.3627892	85.0
0.06421569	0.3627892	86.0
0.06421569	0.3627892	87.0
0.101715684	0.26811764	88.0
0.101715684	0.26811764	89.0
0.101715684	0.26811764	90.0
0.17598039	0.1744853	91.0
0.17598039	0.1744853	92.0
0.17598039	0.1744853	93.0
0.32892156	0.092083335	94.0
0.32892156	0.092083335	95.0
0.32892156	0.092083335	96.0
0.50661767	0.033107843	97.0
0.50661767	0.033107843	98.0
0.50661767	0.033107843	99.0
0.50661767	0.033107843	100.0
