FRR	FAR	%Aciertos
0.0	1.0	0.0
0.0	0.99838233	1.0
0.0	0.99838233	2.0
0.0	0.99838233	3.0
0.0	0.99766666	4.0
0.0	0.99766666	5.0
0.0	0.99766666	6.0
0.0	0.9965686	7.0
0.0	0.9965686	8.0
0.0	0.9965686	9.0
0.0	0.9965686	10.0
0.0	0.9932157	11.0
0.0	0.9932157	12.0
0.0	0.9932157	13.0
0.0	0.9911961	14.0
0.0	0.9911961	15.0
0.0	0.9911961	16.0
0.0	0.98893136	17.0
0.0	0.98893136	18.0
0.0	0.98893136	19.0
0.0	0.98893136	20.0
0.0	0.98391664	21.0
0.0	0.98391664	22.0
0.0	0.98391664	23.0
0.0	0.98105884	24.0
0.0	0.98105884	25.0
0.0	0.98105884	26.0
0.0	0.97738236	27.0
0.0	0.97738236	28.0
0.0	0.97738236	29.0
0.0	0.97738236	30.0
7.3529413E-4	0.971299	31.0
7.3529413E-4	0.971299	32.0
7.3529413E-4	0.971299	33.0
7.3529413E-4	0.9673529	34.0
7.3529413E-4	0.9673529	35.0
7.3529413E-4	0.9673529	36.0
7.3529413E-4	0.9619755	37.0
7.3529413E-4	0.9619755	38.0
7.3529413E-4	0.9619755	39.0
7.3529413E-4	0.9619755	40.0
9.803922E-4	0.95332354	41.0
9.803922E-4	0.95332354	42.0
9.803922E-4	0.95332354	43.0
0.0012254902	0.94734806	44.0
0.0012254902	0.94734806	45.0
0.0012254902	0.94734806	46.0
0.0017156863	0.9405147	47.0
0.0017156863	0.9405147	48.0
0.0017156863	0.9405147	49.0
0.0017156863	0.9405147	50.0
0.0024509805	0.9296275	51.0
0.0024509805	0.9296275	52.0
0.0024509805	0.9296275	53.0
0.0029411765	0.9218627	54.0
0.0029411765	0.9218627	55.0
0.0029411765	0.9218627	56.0
0.0031862746	0.9122549	57.0
0.0031862746	0.9122549	58.0
0.0031862746	0.9122549	59.0
0.0031862746	0.9122549	60.0
0.007107843	0.8948186	61.0
0.007107843	0.8948186	62.0
0.007107843	0.8948186	63.0
0.007598039	0.8806863	64.0
0.007598039	0.8806863	65.0
0.007598039	0.8806863	66.0
0.011029412	0.8625539	67.0
0.011029412	0.8625539	68.0
0.011029412	0.8625539	69.0
0.011029412	0.8625539	70.0
0.023284314	0.82230884	71.0
0.023284314	0.82230884	72.0
0.023284314	0.82230884	73.0
0.024754902	0.79335296	74.0
0.024754902	0.79335296	75.0
0.024754902	0.79335296	76.0
0.02867647	0.7580245	77.0
0.02867647	0.7580245	78.0
0.02867647	0.7580245	79.0
0.02867647	0.7580245	80.0
0.06887255	0.68138725	81.0
0.06887255	0.68138725	82.0
0.06887255	0.68138725	83.0
0.075980395	0.6355343	84.0
0.075980395	0.6355343	85.0
0.075980395	0.6355343	86.0
0.08676471	0.58089215	87.0
0.08676471	0.58089215	88.0
0.08676471	0.58089215	89.0
0.08676471	0.58089215	90.0
0.25416666	0.43698528	91.0
0.25416666	0.43698528	92.0
0.25416666	0.43698528	93.0
0.27132353	0.3742402	94.0
0.27132353	0.3742402	95.0
0.27132353	0.3742402	96.0
0.29191175	0.29633823	97.0
0.29191175	0.29633823	98.0
0.29191175	0.29633823	99.0
0.29191175	0.29633823	100.0
