FRR	FAR	%Aciertos
0.0	1.0	0.0
0.0	0.9999706	1.0
0.0	0.9999706	2.0
0.0	0.9999706	3.0
0.0	0.99987257	4.0
0.0	0.99987257	5.0
0.0	0.99987257	6.0
0.0	0.9995588	7.0
0.0	0.9995588	8.0
0.0	0.9995588	9.0
0.0	0.99901474	10.0
0.0	0.99901474	11.0
0.0	0.99901474	12.0
0.0	0.9979902	13.0
0.0	0.9979902	14.0
0.0	0.9979902	15.0
0.0	0.9979902	16.0
0.0	0.9962549	17.0
0.0	0.9962549	18.0
0.0	0.9962549	19.0
0.0	0.99383825	20.0
0.0	0.99383825	21.0
0.0	0.99383825	22.0
0.0	0.9907108	23.0
0.0	0.9907108	24.0
0.0	0.9907108	25.0
0.0	0.9864804	26.0
0.0	0.9864804	27.0
0.0	0.9864804	28.0
0.0	0.9864804	29.0
0.0	0.9813284	30.0
0.0	0.9813284	31.0
0.0	0.9813284	32.0
0.0	0.97519606	33.0
0.0	0.97519606	34.0
0.0	0.97519606	35.0
0.0	0.9682696	36.0
0.0	0.9682696	37.0
0.0	0.9682696	38.0
2.4509805E-4	0.9603431	39.0
2.4509805E-4	0.9603431	40.0
2.4509805E-4	0.9603431	41.0
2.4509805E-4	0.95171076	42.0
2.4509805E-4	0.95171076	43.0
2.4509805E-4	0.95171076	44.0
2.4509805E-4	0.95171076	45.0
2.4509805E-4	0.94010293	46.0
2.4509805E-4	0.94010293	47.0
2.4509805E-4	0.94010293	48.0
4.901961E-4	0.9254314	49.0
4.901961E-4	0.9254314	50.0
4.901961E-4	0.9254314	51.0
7.3529413E-4	0.90569115	52.0
7.3529413E-4	0.90569115	53.0
7.3529413E-4	0.90569115	54.0
0.0012254902	0.8821912	55.0
0.0012254902	0.8821912	56.0
0.0012254902	0.8821912	57.0
0.0012254902	0.8821912	58.0
0.0017156863	0.8542353	59.0
0.0017156863	0.8542353	60.0
0.0017156863	0.8542353	61.0
0.0026960785	0.819951	62.0
0.0026960785	0.819951	63.0
0.0026960785	0.819951	64.0
0.0036764706	0.777549	65.0
0.0036764706	0.777549	66.0
0.0036764706	0.777549	67.0
0.005147059	0.72659314	68.0
0.005147059	0.72659314	69.0
0.005147059	0.72659314	70.0
0.009558824	0.66723037	71.0
0.009558824	0.66723037	72.0
0.009558824	0.66723037	73.0
0.009558824	0.66723037	74.0
0.01495098	0.6002941	75.0
0.01495098	0.6002941	76.0
0.01495098	0.6002941	77.0
0.024264706	0.5270882	78.0
0.024264706	0.5270882	79.0
0.024264706	0.5270882	80.0
0.04142157	0.4435294	81.0
0.04142157	0.4435294	82.0
0.04142157	0.4435294	83.0
0.06568628	0.35326472	84.0
0.06568628	0.35326472	85.0
0.06568628	0.35326472	86.0
0.06568628	0.35326472	87.0
0.10367647	0.25928432	88.0
0.10367647	0.25928432	89.0
0.10367647	0.25928432	90.0
0.17745098	0.16766177	91.0
0.17745098	0.16766177	92.0
0.17745098	0.16766177	93.0
0.32941177	0.08863235	94.0
0.32941177	0.08863235	95.0
0.32941177	0.08863235	96.0
0.50539213	0.031965688	97.0
0.50539213	0.031965688	98.0
0.50539213	0.031965688	99.0
0.50539213	0.031965688	100.0
