FRR	FAR	%Aciertos
0.0	1.0	0.0
0.0	0.9987353	1.0
0.0	0.9987353	2.0
0.0	0.9987353	3.0
0.0	0.99801964	4.0
0.0	0.99801964	5.0
0.0	0.99801964	6.0
0.0	0.99689704	7.0
0.0	0.99689704	8.0
0.0	0.99689704	9.0
0.0	0.99689704	10.0
0.0	0.9942206	11.0
0.0	0.9942206	12.0
0.0	0.9942206	13.0
0.0	0.9923676	14.0
0.0	0.9923676	15.0
0.0	0.9923676	16.0
0.0	0.98997056	17.0
0.0	0.98997056	18.0
0.0	0.98997056	19.0
0.0	0.98997056	20.0
0.0	0.9855147	21.0
0.0	0.9855147	22.0
0.0	0.9855147	23.0
0.0	0.9822353	24.0
0.0	0.9822353	25.0
0.0	0.9822353	26.0
0.0	0.9784951	27.0
0.0	0.9784951	28.0
0.0	0.9784951	29.0
0.0	0.9784951	30.0
4.901961E-4	0.9727157	31.0
4.901961E-4	0.9727157	32.0
4.901961E-4	0.9727157	33.0
7.3529413E-4	0.96792156	34.0
7.3529413E-4	0.96792156	35.0
7.3529413E-4	0.96792156	36.0
7.3529413E-4	0.96232843	37.0
7.3529413E-4	0.96232843	38.0
7.3529413E-4	0.96232843	39.0
7.3529413E-4	0.96232843	40.0
9.803922E-4	0.95447546	41.0
9.803922E-4	0.95447546	42.0
9.803922E-4	0.95447546	43.0
9.803922E-4	0.94766176	44.0
9.803922E-4	0.94766176	45.0
9.803922E-4	0.94766176	46.0
0.0017156863	0.9404951	47.0
0.0017156863	0.9404951	48.0
0.0017156863	0.9404951	49.0
0.0017156863	0.9404951	50.0
0.0029411765	0.9300882	51.0
0.0029411765	0.9300882	52.0
0.0029411765	0.9300882	53.0
0.0031862746	0.9212304	54.0
0.0031862746	0.9212304	55.0
0.0031862746	0.9212304	56.0
0.0034313726	0.91081864	57.0
0.0034313726	0.91081864	58.0
0.0034313726	0.91081864	59.0
0.0034313726	0.91081864	60.0
0.006617647	0.894348	61.0
0.006617647	0.894348	62.0
0.006617647	0.894348	63.0
0.008088236	0.87941664	64.0
0.008088236	0.87941664	65.0
0.008088236	0.87941664	66.0
0.010784314	0.8614216	67.0
0.010784314	0.8614216	68.0
0.010784314	0.8614216	69.0
0.010784314	0.8614216	70.0
0.022794118	0.82637256	71.0
0.022794118	0.82637256	72.0
0.022794118	0.82637256	73.0
0.024754902	0.79475	74.0
0.024754902	0.79475	75.0
0.024754902	0.79475	76.0
0.029411765	0.7565	77.0
0.029411765	0.7565	78.0
0.029411765	0.7565	79.0
0.029411765	0.7565	80.0
0.06764706	0.6834755	81.0
0.06764706	0.6834755	82.0
0.06764706	0.6834755	83.0
0.07745098	0.6290245	84.0
0.07745098	0.6290245	85.0
0.07745098	0.6290245	86.0
0.0875	0.56870097	87.0
0.0875	0.56870097	88.0
0.0875	0.56870097	89.0
0.0875	0.56870097	90.0
0.2531863	0.42963725	91.0
0.2531863	0.42963725	92.0
0.2531863	0.42963725	93.0
0.27181372	0.35070097	94.0
0.27181372	0.35070097	95.0
0.27181372	0.35070097	96.0
0.29411766	0.2712206	97.0
0.29411766	0.2712206	98.0
0.29411766	0.2712206	99.0
0.29411766	0.2712206	100.0
