FRR	FAR	%Aciertos
0.0	1.0	0.0
0.0	0.9999167	1.0
0.0	0.9999167	2.0
0.0	0.9999167	3.0
0.0	0.9999167	4.0
0.0	0.99946076	5.0
0.0	0.99946076	6.0
0.0	0.99946076	7.0
0.0	0.99946076	8.0
0.0	0.99946076	9.0
0.0	0.99836767	10.0
0.0	0.99836767	11.0
0.0	0.99836767	12.0
0.0	0.99836767	13.0
0.0	0.99836767	14.0
0.0	0.99618626	15.0
0.0	0.99618626	16.0
0.0	0.99618626	17.0
0.0	0.99618626	18.0
0.0	0.99618626	19.0
0.0	0.9927402	20.0
0.0	0.9927402	21.0
0.0	0.9927402	22.0
0.0	0.9927402	23.0
0.0	0.9876569	24.0
0.0	0.9876569	25.0
0.0	0.9876569	26.0
0.0	0.9876569	27.0
0.0	0.9876569	28.0
0.0	0.9799167	29.0
0.0	0.9799167	30.0
0.0	0.9799167	31.0
0.0	0.9799167	32.0
0.0	0.9799167	33.0
0.0	0.9661814	34.0
0.0	0.9661814	35.0
0.0	0.9661814	36.0
0.0	0.9661814	37.0
0.0	0.9661814	38.0
0.0	0.9450343	39.0
0.0	0.9450343	40.0
0.0	0.9450343	41.0
0.0	0.9450343	42.0
2.4509805E-4	0.91716665	43.0
2.4509805E-4	0.91716665	44.0
2.4509805E-4	0.91716665	45.0
2.4509805E-4	0.91716665	46.0
2.4509805E-4	0.91716665	47.0
2.4509805E-4	0.8807598	48.0
2.4509805E-4	0.8807598	49.0
2.4509805E-4	0.8807598	50.0
2.4509805E-4	0.8807598	51.0
2.4509805E-4	0.8807598	52.0
4.901961E-4	0.8348578	53.0
4.901961E-4	0.8348578	54.0
4.901961E-4	0.8348578	55.0
4.901961E-4	0.8348578	56.0
4.901961E-4	0.8348578	57.0
7.3529413E-4	0.7784216	58.0
7.3529413E-4	0.7784216	59.0
7.3529413E-4	0.7784216	60.0
7.3529413E-4	0.7784216	61.0
0.0024509805	0.71195096	62.0
0.0024509805	0.71195096	63.0
0.0024509805	0.71195096	64.0
0.0024509805	0.71195096	65.0
0.0024509805	0.71195096	66.0
0.004411765	0.6359069	67.0
0.004411765	0.6359069	68.0
0.004411765	0.6359069	69.0
0.004411765	0.6359069	70.0
0.004411765	0.6359069	71.0
0.007843138	0.546	72.0
0.007843138	0.546	73.0
0.007843138	0.546	74.0
0.007843138	0.546	75.0
0.007843138	0.546	76.0
0.01887255	0.4402745	77.0
0.01887255	0.4402745	78.0
0.01887255	0.4402745	79.0
0.01887255	0.4402745	80.0
0.045833334	0.32357842	81.0
0.045833334	0.32357842	82.0
0.045833334	0.32357842	83.0
0.045833334	0.32357842	84.0
0.045833334	0.32357842	85.0
0.09338235	0.20715687	86.0
0.09338235	0.20715687	87.0
0.09338235	0.20715687	88.0
0.09338235	0.20715687	89.0
0.09338235	0.20715687	90.0
0.22230393	0.10541177	91.0
0.22230393	0.10541177	92.0
0.22230393	0.10541177	93.0
0.22230393	0.10541177	94.0
0.22230393	0.10541177	95.0
0.50147057	0.033318628	96.0
0.50147057	0.033318628	97.0
0.50147057	0.033318628	98.0
0.50147057	0.033318628	99.0
0.50147057	0.033318628	100.0
