FRR	FAR	%Aciertos	DistribEstandar
0.0024509805	0.83504903	50.0	1.5
4.901961E-4	0.9254314	50.0	2.0
2.4509805E-4	0.9599902	50.0	2.5
0.0	0.9783284	50.0	3.0
0.006862745	0.6927353	60.0	1.5
0.0017156863	0.8542353	60.0	2.0
4.901961E-4	0.91759807	60.0	2.5
2.4509805E-4	0.9532255	60.0	3.0
0.024019608	0.49078432	70.0	1.5
0.005147059	0.72659314	70.0	2.0
0.0022058825	0.83768135	70.0	2.5
7.3529413E-4	0.89361763	70.0	3.0
0.07450981	0.27006373	80.0	1.5
0.024264706	0.5270882	80.0	2.0
0.010294118	0.6942941	80.0	2.5
0.005392157	0.78641665	80.0	3.0
0.24828431	0.08140196	90.0	1.5
0.10367647	0.25928432	90.0	2.0
0.05980392	0.45256373	90.0	2.5
0.038235296	0.58975	90.0	3.0
