FRR	FAR	%Aciertos	DistribEstandar
0.0036764706	0.9017598	50.0	1.5
0.0019607844	0.9400147	50.0	2.0
9.803922E-4	0.95993626	50.0	2.5
4.901961E-4	0.9725784	50.0	3.0
0.008088236	0.84086764	60.0	1.5
0.0034313726	0.91130394	60.0	2.0
0.0019607844	0.9387745	60.0	2.5
9.803922E-4	0.95646566	60.0	3.0
0.021813726	0.7333431	70.0	1.5
0.01127451	0.86296076	70.0	2.0
0.004411765	0.9069559	70.0	2.5
0.0031862746	0.93216175	70.0	3.0
0.05735294	0.57232845	80.0	1.5
0.028921569	0.76006866	80.0	2.0
0.017401962	0.8474951	80.0	2.5
0.009803922	0.8880686	80.0	3.0
0.14362745	0.35640195	90.0	1.5
0.08627451	0.5792353	90.0	2.0
0.05735294	0.71420586	90.0	2.5
0.039215688	0.79066175	90.0	3.0
