FRR	FAR	%Aciertos	DistribEstandar
0.0019607844	0.8267157	50.0	1.5
4.901961E-4	0.92314214	50.0	2.0
2.4509805E-4	0.9607304	50.0	2.5
0.0	0.9786814	50.0	3.0
0.006127451	0.6834951	60.0	1.5
0.0019607844	0.8460147	60.0	2.0
4.901961E-4	0.9134951	60.0	2.5
2.4509805E-4	0.9507353	60.0	3.0
0.02377451	0.48788726	70.0	1.5
0.004901961	0.71819115	70.0	2.0
0.0019607844	0.83137745	70.0	2.5
7.3529413E-4	0.89079905	70.0	3.0
0.07254902	0.26905882	80.0	1.5
0.02377451	0.52272546	80.0	2.0
0.009803922	0.68779904	80.0	2.5
0.005392157	0.78298527	80.0	3.0
0.24779412	0.08118137	90.0	1.5
0.10294118	0.2570343	90.0	2.0
0.058333334	0.44793627	90.0	2.5
0.037990198	0.58511764	90.0	3.0
