FRR	FAR	%Aciertos	DistribEstandar
9.803922E-4	0.7425637	50.0	1.5
2.4509805E-4	0.8727941	50.0	2.0
0.0	0.93025	50.0	2.5
0.0	0.9610588	50.0	3.0
0.005392157	0.58363724	60.0	1.5
7.3529413E-4	0.77117646	60.0	2.0
4.901961E-4	0.8662157	60.0	2.5
0.0	0.9169118	60.0	3.0
0.025	0.3929902	70.0	1.5
0.004166667	0.63158333	70.0	2.0
7.3529413E-4	0.76814705	70.0	2.5
2.4509805E-4	0.8449804	70.0	3.0
0.080882356	0.19995588	80.0	1.5
0.018382354	0.43911275	80.0	2.0
0.005882353	0.6207402	80.0	2.5
0.0017156863	0.73534805	80.0	3.0
0.28431374	0.061009806	90.0	1.5
0.09264706	0.20797549	90.0	2.0
0.04117647	0.39261276	90.0	2.5
0.018627452	0.54435784	90.0	3.0
