FRR	FAR	%Aciertos	DistribEstandar
0.0024509805	0.8331814	50.0	1.5
4.901961E-4	0.9225147	50.0	2.0
2.4509805E-4	0.9613235	50.0	2.5
0.0	0.9790588	50.0	3.0
0.006372549	0.6980539	60.0	1.5
0.0017156863	0.85004413	60.0	2.0
4.901961E-4	0.9159902	60.0	2.5
2.4509805E-4	0.9519461	60.0	3.0
0.022794118	0.50735295	70.0	1.5
0.005392157	0.7218922	70.0	2.0
0.0022058825	0.8333137	70.0	2.5
9.803922E-4	0.8927157	70.0	3.0
0.07058824	0.28415197	80.0	1.5
0.024019608	0.5300343	80.0	2.0
0.009803922	0.68885297	80.0	2.5
0.005147059	0.7834755	80.0	3.0
0.24607843	0.08653922	90.0	1.5
0.10465686	0.26436275	90.0	2.0
0.057843138	0.4507402	90.0	2.5
0.037254903	0.58443135	90.0	3.0
