FRR	FAR	%Aciertos	DistribEstandar
0.0029411765	0.90184313	50.0	1.5
0.0014705883	0.94281375	50.0	2.0
7.3529413E-4	0.96315193	50.0	2.5
4.901961E-4	0.97555393	50.0	3.0
0.007598039	0.85013235	60.0	1.5
0.0031862746	0.91495585	60.0	2.0
0.0017156863	0.9428235	60.0	2.5
7.3529413E-4	0.9605245	60.0	3.0
0.019607844	0.7602892	70.0	1.5
0.00882353	0.87322056	70.0	2.0
0.004166667	0.91391176	70.0	2.5
0.0024509805	0.9387696	70.0	3.0
0.05122549	0.62036276	80.0	1.5
0.025980392	0.7982843	80.0	2.0
0.0154411765	0.8649608	80.0	2.5
0.009558824	0.9007402	80.0	3.0
0.12965687	0.42358333	90.0	1.5
0.07745098	0.6482794	90.0	2.0
0.053431373	0.7652304	90.0	2.5
0.035539217	0.8229657	90.0	3.0
