FRR	FAR	Caracteristicas
0.3259804	0.044093136	dt(1.25),ft4(1.25)
0.27181372	0.060818627	dt(1.25),ft4(1.5)
0.24632353	0.072607845	dt(1.25),ft4(1.75)
0.23088235	0.08002941	dt(1.25),ft4(2.0)
0.22156863	0.08479902	dt(1.25),ft4(2.25)
0.24191177	0.078558825	dt(1.5),ft4(1.25)
0.175	0.110637255	dt(1.5),ft4(1.5)
0.14509805	0.13485295	dt(1.5),ft4(1.75)
0.125	0.15072058	dt(1.5),ft4(2.0)
0.11102941	0.16146079	dt(1.5),ft4(2.25)
0.2129902	0.11352451	dt(1.75),ft4(1.25)
0.14142157	0.16275491	dt(1.75),ft4(1.5)
0.10955882	0.20259313	dt(1.75),ft4(1.75)
0.087990195	0.22994608	dt(1.75),ft4(2.0)
0.07230392	0.2487353	dt(1.75),ft4(2.25)
0.20416667	0.1439706	dt(2.0),ft4(1.25)
0.13063726	0.20991667	dt(2.0),ft4(1.5)
0.097794116	0.2654706	dt(2.0),ft4(1.75)
0.0754902	0.30539215	dt(2.0),ft4(2.0)
0.059558824	0.33355883	dt(2.0),ft4(2.25)
0.20147058	0.167	dt(2.25),ft4(1.25)
0.12720588	0.24768138	dt(2.25),ft4(1.5)
0.09436274	0.317	dt(2.25),ft4(1.75)
0.07205883	0.36862746	dt(2.25),ft4(2.0)
0.055882353	0.40611273	dt(2.25),ft4(2.25)
