FRR	FAR	Caracteristicas
0.21715686	0.2022843	ft3(1.25),ft4(1.25)
0.19779412	0.25133333	ft3(1.25),ft4(1.5)
0.19754902	0.2700245	ft3(1.25),ft4(1.75)
0.19754902	0.27658334	ft3(1.25),ft4(2.0)
0.19754902	0.279049	ft3(1.25),ft4(2.25)
0.20049019	0.23519608	ft3(1.5),ft4(1.25)
0.1367647	0.33908334	ft3(1.5),ft4(1.5)
0.13112745	0.39204413	ft3(1.5),ft4(1.75)
0.13112745	0.41279903	ft3(1.5),ft4(2.0)
0.13112745	0.42045587	ft3(1.5),ft4(2.25)
0.2	0.24368627	ft3(1.75),ft4(1.25)
0.12598039	0.37359315	ft3(1.75),ft4(1.5)
0.097794116	0.46811765	ft3(1.75),ft4(1.75)
0.09411765	0.51337254	ft3(1.75),ft4(2.0)
0.09338235	0.53234315	ft3(1.75),ft4(2.25)
0.2	0.24530882	ft3(2.0),ft4(1.25)
0.1254902	0.3842108	ft3(2.0),ft4(1.5)
0.092892155	0.5014412	ft3(2.0),ft4(1.75)
0.074264705	0.57507354	ft3(2.0),ft4(2.0)
0.06985294	0.61119115	ft3(2.0),ft4(2.25)
0.2	0.24553922	ft3(2.25),ft4(1.25)
0.125	0.3864706	ft3(2.25),ft4(1.5)
0.092156865	0.51330394	ft3(2.25),ft4(1.75)
0.07009804	0.60691667	ft3(2.25),ft4(2.0)
0.05735294	0.66325	ft3(2.25),ft4(2.25)
