FRR	FAR	Caracteristicas
0.3392157	0.040014707	dt(1.25),ft3(1.25),ft4(1.25)
0.32867646	0.043289214	dt(1.25),ft3(1.25),ft4(1.5)
0.32867646	0.043367647	dt(1.25),ft3(1.25),ft4(1.75)
0.32867646	0.043367647	dt(1.25),ft3(1.25),ft4(2.0)
0.32867646	0.043367647	dt(1.25),ft3(1.25),ft4(2.25)
0.32647058	0.043848038	dt(1.25),ft3(1.5),ft4(1.25)
0.28039217	0.05722549	dt(1.25),ft3(1.5),ft4(1.5)
0.2769608	0.059715685	dt(1.25),ft3(1.5),ft4(1.75)
0.2769608	0.059759803	dt(1.25),ft3(1.5),ft4(2.0)
0.2769608	0.059759803	dt(1.25),ft3(1.5),ft4(2.25)
0.3259804	0.044088237	dt(1.25),ft3(1.75),ft4(1.25)
0.2720588	0.060490195	dt(1.25),ft3(1.75),ft4(1.5)
0.2502451	0.069882356	dt(1.25),ft3(1.75),ft4(1.75)
0.24901961	0.071666665	dt(1.25),ft3(1.75),ft4(2.0)
0.24901961	0.071705885	dt(1.25),ft3(1.75),ft4(2.25)
0.3259804	0.044093136	dt(1.25),ft3(2.0),ft4(1.25)
0.27181372	0.06080392	dt(1.25),ft3(2.0),ft4(1.5)
0.24656862	0.07232353	dt(1.25),ft3(2.0),ft4(1.75)
0.23357843	0.07796078	dt(1.25),ft3(2.0),ft4(2.0)
0.23210785	0.07891667	dt(1.25),ft3(2.0),ft4(2.25)
0.3259804	0.044093136	dt(1.25),ft3(2.25),ft4(1.25)
0.27181372	0.060818627	dt(1.25),ft3(2.25),ft4(1.5)
0.24632353	0.07257843	dt(1.25),ft3(2.25),ft4(1.75)
0.23088235	0.079700984	dt(1.25),ft3(2.25),ft4(2.0)
0.2240196	0.08314706	dt(1.25),ft3(2.25),ft4(2.25)
0.25808823	0.070857845	dt(1.5),ft3(1.25),ft4(1.25)
0.24264705	0.07858823	dt(1.5),ft3(1.25),ft4(1.5)
0.24264705	0.07898039	dt(1.5),ft3(1.25),ft4(1.75)
0.24264705	0.07898039	dt(1.5),ft3(1.25),ft4(2.0)
0.24264705	0.07898039	dt(1.5),ft3(1.25),ft4(2.25)
0.24240196	0.07795588	dt(1.5),ft3(1.5),ft4(1.25)
0.18578431	0.10353921	dt(1.5),ft3(1.5),ft4(1.5)
0.18161765	0.10988726	dt(1.5),ft3(1.5),ft4(1.75)
0.18161765	0.11016177	dt(1.5),ft3(1.5),ft4(2.0)
0.18161765	0.11016177	dt(1.5),ft3(1.5),ft4(2.25)
0.24191177	0.07852941	dt(1.5),ft3(1.75),ft4(1.25)
0.1754902	0.10972059	dt(1.5),ft3(1.75),ft4(1.5)
0.1497549	0.12892157	dt(1.5),ft3(1.75),ft4(1.75)
0.14681372	0.13336764	dt(1.5),ft3(1.75),ft4(2.0)
0.14681372	0.13358824	dt(1.5),ft3(1.75),ft4(2.25)
0.24191177	0.078558825	dt(1.5),ft3(2.0),ft4(1.25)
0.175	0.110583335	dt(1.5),ft3(2.0),ft4(1.5)
0.14534314	0.13395588	dt(1.5),ft3(2.0),ft4(1.75)
0.12867647	0.14590196	dt(1.5),ft3(2.0),ft4(2.0)
