FRR	FAR	Caracteristicas
0.34509805	0.03717157	dt(1.25),ft1(1.25),ft4(1.25)
0.32769608	0.041941177	dt(1.25),ft1(1.25),ft4(1.5)
0.3272059	0.04261765	dt(1.25),ft1(1.25),ft4(1.75)
0.3272059	0.042666666	dt(1.25),ft1(1.25),ft4(2.0)
0.3272059	0.042666666	dt(1.25),ft1(1.25),ft4(2.25)
0.3262255	0.04272059	dt(1.25),ft1(1.5),ft4(1.25)
0.28210783	0.0545049	dt(1.25),ft1(1.5),ft4(1.5)
0.275	0.058210783	dt(1.25),ft1(1.5),ft4(1.75)
0.275	0.058735292	dt(1.25),ft1(1.5),ft4(2.0)
0.275	0.058754902	dt(1.25),ft1(1.5),ft4(2.25)
0.3262255	0.043892156	dt(1.25),ft1(1.75),ft4(1.25)
0.27279413	0.05937745	dt(1.25),ft1(1.75),ft4(1.5)
0.2509804	0.06789706	dt(1.25),ft1(1.75),ft4(1.75)
0.24779412	0.07046078	dt(1.25),ft1(1.75),ft4(2.0)
0.24779412	0.070745096	dt(1.25),ft1(1.75),ft4(2.25)
0.3259804	0.044078432	dt(1.25),ft1(2.0),ft4(1.25)
0.27181372	0.060553923	dt(1.25),ft1(2.0),ft4(1.5)
0.24705882	0.0715	dt(1.25),ft1(2.0),ft4(1.75)
0.23504902	0.076715685	dt(1.25),ft1(2.0),ft4(2.0)
0.23210785	0.07821569	dt(1.25),ft1(2.0),ft4(2.25)
0.3259804	0.044093136	dt(1.25),ft1(2.25),ft4(1.25)
0.27181372	0.060784314	dt(1.25),ft1(2.25),ft4(1.5)
0.24656862	0.07232353	dt(1.25),ft1(2.25),ft4(1.75)
0.23210785	0.079112746	dt(1.25),ft1(2.25),ft4(2.0)
0.2254902	0.08226961	dt(1.25),ft1(2.25),ft4(2.25)
0.264951	0.063965686	dt(1.5),ft1(1.25),ft4(1.25)
0.24191177	0.0737598	dt(1.5),ft1(1.25),ft4(1.5)
0.24117647	0.075921565	dt(1.5),ft1(1.25),ft4(1.75)
0.24117647	0.07614706	dt(1.5),ft1(1.25),ft4(2.0)
0.24117647	0.07615686	dt(1.5),ft1(1.25),ft4(2.25)
0.24264705	0.07514706	dt(1.5),ft1(1.5),ft4(1.25)
0.18848039	0.09717647	dt(1.5),ft1(1.5),ft4(1.5)
0.17965686	0.10570588	dt(1.5),ft1(1.5),ft4(1.75)
0.17892157	0.10737255	dt(1.5),ft1(1.5),ft4(2.0)
0.17867647	0.10753431	dt(1.5),ft1(1.5),ft4(2.25)
0.24264705	0.07788235	dt(1.5),ft1(1.75),ft4(1.25)
0.17769608	0.107044116	dt(1.5),ft1(1.75),ft4(1.5)
0.15245098	0.124088235	dt(1.5),ft1(1.75),ft4(1.75)
0.14705883	0.13002451	dt(1.5),ft1(1.75),ft4(2.0)
