FRR	FAR	Caracteristicas
0.12598039	0.37266666	ft2(2.0),ft3(1.75),ft4(1.5)
0.09803922	0.46386763	ft2(2.0),ft3(1.75),ft4(1.75)
0.09436274	0.5051324	ft2(2.0),ft3(1.75),ft4(2.0)
0.09387255	0.5221422	ft2(2.0),ft3(1.75),ft4(2.25)
0.2	0.24512255	ft2(2.0),ft3(2.0),ft4(1.25)
0.1254902	0.38237745	ft2(2.0),ft3(2.0),ft4(1.5)
0.09313726	0.49258333	ft2(2.0),ft3(2.0),ft4(1.75)
0.07769608	0.5537794	ft2(2.0),ft3(2.0),ft4(2.0)
0.075	0.58137256	ft2(2.0),ft3(2.0),ft4(2.25)
0.2	0.2452549	ft2(2.0),ft3(2.25),ft4(1.25)
0.125	0.3835686	ft2(2.0),ft3(2.25),ft4(1.5)
0.09240196	0.49797058	ft2(2.0),ft3(2.25),ft4(1.75)
0.07450981	0.56494606	ft2(2.0),ft3(2.25),ft4(2.0)
0.06960785	0.5964657	ft2(2.0),ft3(2.25),ft4(2.25)
0.21715686	0.2022843	ft2(2.25),ft3(1.25),ft4(1.25)
0.19779412	0.25132352	ft2(2.25),ft3(1.25),ft4(1.5)
0.19754902	0.26997548	ft2(2.25),ft3(1.25),ft4(1.75)
0.19754902	0.27649018	ft2(2.25),ft3(1.25),ft4(2.0)
0.19754902	0.27892157	ft2(2.25),ft3(1.25),ft4(2.25)
0.20049019	0.23519118	ft2(2.25),ft3(1.5),ft4(1.25)
0.1367647	0.339049	ft2(2.25),ft3(1.5),ft4(1.5)
0.13112745	0.39188236	ft2(2.25),ft3(1.5),ft4(1.75)
0.13112745	0.41244116	ft2(2.25),ft3(1.5),ft4(2.0)
0.13112745	0.4199755	ft2(2.25),ft3(1.5),ft4(2.25)
0.2	0.24368137	ft2(2.25),ft3(1.75),ft4(1.25)
0.12598039	0.373549	ft2(2.25),ft3(1.75),ft4(1.5)
0.097794116	0.46767157	ft2(2.25),ft3(1.75),ft4(1.75)
0.09411765	0.51208335	ft2(2.25),ft3(1.75),ft4(2.0)
0.09338235	0.53035295	ft2(2.25),ft3(1.75),ft4(2.25)
0.2	0.24530393	ft2(2.25),ft3(2.0),ft4(1.25)
0.1254902	0.38412744	ft2(2.25),ft3(2.0),ft4(1.5)
0.092892155	0.50060785	ft2(2.25),ft3(2.0),ft4(1.75)
0.07450981	0.57175	ft2(2.25),ft3(2.0),ft4(2.0)
0.07009804	0.605201	ft2(2.25),ft3(2.0),ft4(2.25)
0.2	0.2455147	ft2(2.25),ft3(2.25),ft4(1.25)
0.125	0.38630393	ft2(2.25),ft3(2.25),ft4(1.5)
0.092156865	0.5115196	ft2(2.25),ft3(2.25),ft4(1.75)
0.07058824	0.5995098	ft2(2.25),ft3(2.25),ft4(2.0)
0.059558824	0.64734805	ft2(2.25),ft3(2.25),ft4(2.25)
