FRR	FAR	Caracteristicas
0.21470588	0.19428432	ft1(1.25),ft2(1.25)
0.19632353	0.24172059	ft1(1.25),ft2(1.5)
0.19558823	0.25234315	ft1(1.25),ft2(1.75)
0.19558823	0.25367647	ft1(1.25),ft2(2.0)
0.19558823	0.2539608	ft1(1.25),ft2(2.25)
0.19901961	0.22735295	ft1(1.5),ft2(1.25)
0.1367647	0.3290539	ft1(1.5),ft2(1.5)
0.12843138	0.37215197	ft1(1.5),ft2(1.75)
0.12769608	0.38142157	ft1(1.5),ft2(2.0)
0.12769608	0.38305882	ft1(1.5),ft2(2.25)
0.19877452	0.23846568	ft1(1.75),ft2(1.25)
0.12916666	0.36819607	ft1(1.75),ft2(1.5)
0.09852941	0.45318627	ft1(1.75),ft2(1.75)
0.09264706	0.4852402	ft1(1.75),ft2(2.0)
0.09240196	0.49244118	ft1(1.75),ft2(2.25)
0.19877452	0.24247059	ft1(2.0),ft2(1.25)
0.12818627	0.38311765	ft1(2.0),ft2(1.5)
0.09338235	0.4920147	ft1(2.0),ft2(1.75)
0.07254902	0.5540049	ft1(2.0),ft2(2.0)
0.06813726	0.576451	ft1(2.0),ft2(2.25)
0.19877452	0.24371079	ft1(2.25),ft2(1.25)
0.12818627	0.38806373	ft1(2.25),ft2(1.5)
0.09338235	0.5077598	ft1(2.25),ft2(1.75)
0.069362745	0.59067154	ft1(2.25),ft2(2.0)
0.05759804	0.6349265	ft1(2.25),ft2(2.25)
