FRR	FAR	Caracteristicas
0.23039216	0.15285294	ft1(1.25),ft3(1.25),ft4(1.25)
0.21372549	0.18629412	ft1(1.25),ft3(1.25),ft4(1.5)
0.21372549	0.19927941	ft1(1.25),ft3(1.25),ft4(1.75)
0.21372549	0.20380393	ft1(1.25),ft3(1.25),ft4(2.0)
0.21372549	0.20531373	ft1(1.25),ft3(1.25),ft4(2.25)
0.225	0.15532354	ft1(1.25),ft3(1.5),ft4(1.25)
0.19754902	0.19955392	ft1(1.25),ft3(1.5),ft4(1.5)
0.19656862	0.22460294	ft1(1.25),ft3(1.5),ft4(1.75)
0.19656862	0.23715197	ft1(1.25),ft3(1.5),ft4(2.0)
0.19656862	0.24208823	ft1(1.25),ft3(1.5),ft4(2.25)
0.2247549	0.15537255	ft1(1.25),ft3(1.75),ft4(1.25)
0.19705883	0.19970098	ft1(1.25),ft3(1.75),ft4(1.5)
0.19607843	0.22540197	ft1(1.25),ft3(1.75),ft4(1.75)
0.19607843	0.24035294	ft1(1.25),ft3(1.75),ft4(2.0)
0.19583334	0.24891667	ft1(1.25),ft3(1.75),ft4(2.25)
0.2247549	0.15537255	ft1(1.25),ft3(2.0),ft4(1.25)
0.19705883	0.19970098	ft1(1.25),ft3(2.0),ft4(1.5)
0.19607843	0.22540686	ft1(1.25),ft3(2.0),ft4(1.75)
0.19607843	0.24036765	ft1(1.25),ft3(2.0),ft4(2.0)
0.19583334	0.24910294	ft1(1.25),ft3(2.0),ft4(2.25)
0.2247549	0.15537255	ft1(1.25),ft3(2.25),ft4(1.25)
0.19705883	0.19970098	ft1(1.25),ft3(2.25),ft4(1.5)
0.19607843	0.22540686	ft1(1.25),ft3(2.25),ft4(1.75)
0.19607843	0.24036765	ft1(1.25),ft3(2.25),ft4(2.0)
0.19583334	0.24910294	ft1(1.25),ft3(2.25),ft4(2.25)
0.21764706	0.18518628	ft1(1.5),ft3(1.25),ft4(1.25)
0.19828431	0.22876962	ft1(1.5),ft3(1.25),ft4(1.5)
0.19803922	0.24487256	ft1(1.5),ft3(1.25),ft4(1.75)
0.19803922	0.25036764	ft1(1.5),ft3(1.25),ft4(2.0)
0.19803922	0.2522598	ft1(1.5),ft3(1.25),ft4(2.25)
0.20147058	0.19762255	ft1(1.5),ft3(1.5),ft4(1.25)
0.14215687	0.27590197	ft1(1.5),ft3(1.5),ft4(1.5)
0.1370098	0.3164608	ft1(1.5),ft3(1.5),ft4(1.75)
0.1370098	0.333201	ft1(1.5),ft3(1.5),ft4(2.0)
0.1370098	0.3392059	ft1(1.5),ft3(1.5),ft4(2.25)
0.20122549	0.19802451	ft1(1.5),ft3(1.75),ft4(1.25)
0.14044118	0.2785147	ft1(1.5),ft3(1.75),ft4(1.5)
0.12965687	0.32857352	ft1(1.5),ft3(1.75),ft4(1.75)
0.12892157	0.35513234	ft1(1.5),ft3(1.75),ft4(2.0)
0.12867647	0.36861765	ft1(1.5),ft3(1.75),ft4(2.25)
0.20122549	0.19802451	ft1(1.5),ft3(2.0),ft4(1.25)
0.14044118	0.27857354	ft1(1.5),ft3(2.0),ft4(1.5)
0.12965687	0.32880393	ft1(1.5),ft3(2.0),ft4(1.75)
0.12867647	0.35595587	ft1(1.5),ft3(2.0),ft4(2.0)
0.12794118	0.37194118	ft1(1.5),ft3(2.0),ft4(2.25)
0.20122549	0.19802451	ft1(1.5),ft3(2.25),ft4(1.25)
0.14044118	0.27857354	ft1(1.5),ft3(2.25),ft4(1.5)
0.12965687	0.32880393	ft1(1.5),ft3(2.25),ft4(1.75)
0.12867647	0.35596567	ft1(1.5),ft3(2.25),ft4(2.0)
0.12794118	0.3719902	ft1(1.5),ft3(2.25),ft4(2.25)
0.21715686	0.19677942	ft1(1.75),ft3(1.25),ft4(1.25)
0.19779412	0.24397549	ft1(1.75),ft3(1.25),ft4(1.5)
0.19754902	0.26154903	ft1(1.75),ft3(1.25),ft4(1.75)
0.19754902	0.2674951	ft1(1.75),ft3(1.25),ft4(2.0)
0.19754902	0.26955882	ft1(1.75),ft3(1.25),ft4(2.25)
0.2009804	0.22	ft1(1.75),ft3(1.5),ft4(1.25)
0.13725491	0.31568137	ft1(1.75),ft3(1.5),ft4(1.5)
0.13161765	0.36390686	ft1(1.75),ft3(1.5),ft4(1.75)
0.13161765	0.38265687	ft1(1.75),ft3(1.5),ft4(2.0)
0.13161765	0.3892843	ft1(1.75),ft3(1.5),ft4(2.25)
0.2007353	0.22143628	ft1(1.75),ft3(1.75),ft4(1.25)
0.12867647	0.32764214	ft1(1.75),ft3(1.75),ft4(1.5)
0.102696076	0.40260294	ft1(1.75),ft3(1.75),ft4(1.75)
0.0992647	0.43942648	ft1(1.75),ft3(1.75),ft4(2.0)
0.09877451	0.45536274	ft1(1.75),ft3(1.75),ft4(2.25)
0.2007353	0.22144608	ft1(1.75),ft3(2.0),ft4(1.25)
0.12843138	0.3280343	ft1(1.75),ft3(2.0),ft4(1.5)
0.10098039	0.40518627	ft1(1.75),ft3(2.0),ft4(1.75)
0.094607845	0.44864705	ft1(1.75),ft3(2.0),ft4(2.0)
0.092892155	0.47260785	ft1(1.75),ft3(2.0),ft4(2.25)
0.2007353	0.22144608	ft1(1.75),ft3(2.25),ft4(1.25)
0.12818627	0.32804412	ft1(1.75),ft3(2.25),ft4(1.5)
0.10073529	0.4052549	ft1(1.75),ft3(2.25),ft4(1.75)
0.09436274	0.44892156	ft1(1.75),ft3(2.25),ft4(2.0)
