FRR	FAR	Caracteristicas
0.3272059	0.042666666	dt(1.25),ft1(1.25)
0.275	0.058754902	dt(1.25),ft1(1.5)
0.24754901	0.07076961	dt(1.25),ft1(1.75)
0.23161764	0.07838725	dt(1.25),ft1(2.0)
0.2247549	0.08317647	dt(1.25),ft1(2.25)
0.24117647	0.07615686	dt(1.5),ft1(1.25)
0.17867647	0.10754902	dt(1.5),ft1(1.5)
0.14656863	0.13112745	dt(1.5),ft1(1.75)
0.12598039	0.14686275	dt(1.5),ft1(2.0)
0.11519608	0.15715197	dt(1.5),ft1(2.25)
0.21004902	0.1119902	dt(1.75),ft1(1.25)
0.14338236	0.16045588	dt(1.75),ft1(1.5)
0.10980392	0.19795097	dt(1.75),ft1(1.75)
0.0875	0.22348529	dt(1.75),ft1(2.0)
0.0752451	0.24087745	dt(1.75),ft1(2.25)
0.2007353	0.14623529	dt(2.0),ft1(1.25)
0.13308823	0.21068138	dt(2.0),ft1(1.5)
0.09852941	0.26158825	dt(2.0),ft1(1.75)
0.0754902	0.2972941	dt(2.0),ft1(2.0)
0.0625	0.32246077	dt(2.0),ft1(2.25)
0.19754902	0.17368628	dt(2.25),ft1(1.25)
0.12990196	0.25232843	dt(2.25),ft1(1.5)
0.09509804	0.31515688	dt(2.25),ft1(1.75)
0.07156863	0.3599706	dt(2.25),ft1(2.0)
0.05857843	0.39231864	dt(2.25),ft1(2.25)
