FRR	FAR	%Aciertos	DistribEstandar
0.0036764706	0.9032647	50.0	1.5
0.0019607844	0.9415098	50.0	2.0
9.803922E-4	0.9614265	50.0	2.5
4.901961E-4	0.97364706	50.0	3.0
0.007843138	0.8415147	60.0	1.5
0.0034313726	0.91260785	60.0	2.0
0.0019607844	0.9402353	60.0	2.5
9.803922E-4	0.9578235	60.0	3.0
0.021568628	0.73267156	70.0	1.5
0.010539216	0.8640784	70.0	2.0
0.004411765	0.90802944	70.0	2.5
0.0031862746	0.9334363	70.0	3.0
0.05612745	0.56887746	80.0	1.5
0.028186275	0.76330394	80.0	2.0
0.017401962	0.8493922	80.0	2.5
0.009803922	0.8894951	80.0	3.0
0.14068627	0.35140687	90.0	1.5
0.084803924	0.5796667	90.0	2.0
0.057107843	0.7157892	90.0	2.5
0.03897059	0.7926618	90.0	3.0
