FRR	FAR	%Aciertos	DistribEstandar
0.0029411765	0.86	50.0	1.5
7.3529413E-4	0.934299	50.0	2.0
2.4509805E-4	0.9615588	50.0	2.5
0.0	0.97739214	50.0	3.0
0.007352941	0.7437206	60.0	1.5
0.0022058825	0.87712747	60.0	2.0
9.803922E-4	0.93156374	60.0	2.5
4.901961E-4	0.95799017	60.0	3.0
0.024019608	0.56133336	70.0	1.5
0.007352941	0.7698088	70.0	2.0
0.0026960785	0.863701	70.0	2.5
9.803922E-4	0.9147794	70.0	3.0
0.07279412	0.33470097	80.0	1.5
0.028431373	0.58135784	80.0	2.0
0.015686275	0.7316667	80.0	2.5
0.008333334	0.8154706	80.0	3.0
0.22941177	0.10961765	90.0	1.5
0.105882354	0.30730882	90.0	2.0
0.05882353	0.4936863	90.0	2.5
0.039460786	0.61835784	90.0	3.0
