FRR	FAR	%Aciertos	DistribEstandar
0.0034313726	0.90409803	50.0	1.5
0.0017156863	0.9414559	50.0	2.0
9.803922E-4	0.9604118	50.0	2.5
7.3529413E-4	0.9725343	50.0	3.0
0.008333334	0.84197056	60.0	1.5
0.0031862746	0.9142206	60.0	2.0
0.0019607844	0.94058335	60.0	2.5
9.803922E-4	0.95717645	60.0	3.0
0.020343138	0.7392941	70.0	1.5
0.010539216	0.8653529	70.0	2.0
0.004411765	0.910098	70.0	2.5
0.0029411765	0.9347353	70.0	3.0
0.053186275	0.59439707	80.0	1.5
0.026960785	0.7654951	80.0	2.0
0.01642157	0.8507451	80.0	2.5
0.009313726	0.8927304	80.0	3.0
0.13725491	0.3982451	90.0	1.5
0.080882356	0.5983039	90.0	2.0
0.051715687	0.7250784	90.0	2.5
0.036764707	0.7982206	90.0	3.0
