FRR	FAR	%Aciertos	DistribEstandar
0.0034313726	0.90489703	50.0	1.5
0.0014705883	0.94277453	50.0	2.0
9.803922E-4	0.96146566	50.0	2.5
7.3529413E-4	0.9732108	50.0	3.0
0.008333334	0.83960783	60.0	1.5
0.0029411765	0.9139069	60.0	2.0
0.0019607844	0.94106865	60.0	2.5
9.803922E-4	0.95776963	60.0	3.0
0.020343138	0.73072547	70.0	1.5
0.010294118	0.8639265	70.0	2.0
0.004656863	0.9099216	70.0	2.5
0.0026960785	0.93454415	70.0	3.0
0.054166667	0.5764902	80.0	1.5
0.02745098	0.7576324	80.0	2.0
0.016666668	0.8487304	80.0	2.5
0.009803922	0.89146566	80.0	3.0
0.1370098	0.37142158	90.0	1.5
0.08284314	0.58341664	90.0	2.0
0.05514706	0.7170735	90.0	2.5
0.036764707	0.79373527	90.0	3.0
