FRR	FAR	%Aciertos	DistribEstandar
0.0034313726	0.902951	50.0	1.5
0.0017156863	0.9405147	50.0	2.0
9.803922E-4	0.9598088	50.0	2.5
7.3529413E-4	0.9722647	50.0	3.0
0.009068628	0.8389755	60.0	1.5
0.0031862746	0.9122549	60.0	2.0
0.0019607844	0.9393774	60.0	2.5
9.803922E-4	0.9563382	60.0	3.0
0.02132353	0.73221076	70.0	1.5
0.011029412	0.8625539	70.0	2.0
0.004656863	0.90768135	70.0	2.5
0.0029411765	0.9326814	70.0	3.0
0.05612745	0.57604414	80.0	1.5
0.02867647	0.7580245	80.0	2.0
0.016666668	0.84685296	80.0	2.5
0.01004902	0.88913727	80.0	3.0
0.14289215	0.36906862	90.0	1.5
0.08676471	0.58089215	90.0	2.0
0.056862745	0.71506864	90.0	2.5
0.038480394	0.79058826	90.0	3.0
