FRR	FAR	%Aciertos	DistribEstandar
0.0036764706	0.9021814	50.0	1.5
0.0014705883	0.9416618	50.0	2.0
7.3529413E-4	0.9617108	50.0	2.5
4.901961E-4	0.9742794	50.0	3.0
0.007843138	0.8457108	60.0	1.5
0.0034313726	0.9122696	60.0	2.0
0.0019607844	0.9405	60.0	2.5
7.3529413E-4	0.9583284	60.0	3.0
0.021568628	0.742902	70.0	1.5
0.009313726	0.86623037	70.0	2.0
0.004411765	0.90893626	70.0	2.5
0.0029411765	0.9345196	70.0	3.0
0.05612745	0.5824951	80.0	1.5
0.02867647	0.7764755	80.0	2.0
0.015931373	0.8548235	80.0	2.5
0.009803922	0.8922696	80.0	3.0
0.14093137	0.3667304	90.0	1.5
0.085539214	0.5999265	90.0	2.0
0.056617647	0.73468626	90.0	2.5
0.037254903	0.8052255	90.0	3.0
